Key,Source,Context,Changes,English,Russian,TChinese
requestExperimentalAlloysBig,items,Request,,[DECEA3]Big case[-] Experimental alloys,[DECEA3]Большой кейс[-] Эксперементальные сплавы,[DECEA3]大型箱[-] 實驗性合金
requestExperimentalAlloysBigDesc,items,Request,,"Request to receive a large case of resources.\n\nWhen you activate the task, you will receive [DECEA3]100 Experimental alloys.[-]","Запрос на получение большого кейса ресурсов.\n\nПри активации задания вы получите [DECEA3]100 Экспериментальных сплавов.[-]","請求接收一個大型資源箱。\n\n當你啟動任務時，你將獲得[DECEA3]100個實驗性合金。[-]"

workstationsT3-2,progression,Attribute,,Level 3: Radio station,Уровень 3: Радиостанция,等級 3：無線電站

radioStation,blocks,Workstation,,Radio station,Радиостанция,無線電站
radioStationDesc,blocks,Workstation,,"Traders in the exclusion zone cannot help with everything. Communication with the outside world will allow you to exchange rare resources and receive unique tasks.","Торговцы в зоне отчуждения не во всем могут помочь. Связь с внешним миром, позволит вам обменивать редкие ресурсы и получать уникальные задания.","禁區內的商人無法在所有方面提供幫助。與外界的通訊將允許你交換稀有資源並接收獨特的任務。"

quest_support_statement,Quest,Quest Info,,Receive a load of support,Пролучите груз поддержки,接收支援物資
quest_support_subtitle,Quest,Quest Info,,Receive a load of support,Пролучите груз поддержки,接收支援物資
quest_support_response,Quest,Quest Info,,Request support([DECEA3]{poi.distance} {poi.direction}[-]),Запрос поддержки ([DECEA3]{poi.distance} {poi.direction}[-]),請求支援([DECEA3]{poi.distance} {poi.direction}[-])

SmallCase_Name,Quest,Quest Info,,Support Request [DECEA3]Small Case[-],Запрос поддержки [DECEA3]Малый кейс[-],支援請求 [DECEA3]小型箱[-]

SmallCase01_Offer,Quest,Quest Info,,"You have requested a small support case. Upon activation, you will receive a small set of resources [DECEA3]Ultra Light Alloys[-]","Вы запросили малый кейс поддержки. При активации получите малый набор ресурсов [DECEA3]Сверхлегкие сплавы[-]","你已請求一個小型支援箱。啟動後，你將收到一小組資源 [DECEA3]超輕合金[-]"
SmallCase02_Offer,Quest,Quest Info,,"You have requested a small support case. Upon activation, you will receive a small set of resources [DECEA3]Ultra Strength Alloys[-]","Вы запросили малый кейс поддержки. При активации получите малый набор ресурсов [DECEA3]Сверхпрочные сплавы[-]","你已請求一個小型支援箱。啟動後，你將收到一小組資源 [DECEA3]超強合金[-]"
SmallCase03_Offer,Quest,Quest Info,,"You have requested a small support case. Upon activation, you will receive a small set of resources [DECEA3]Experimental alloys[-]","Вы запросили малый кейс поддержки. При активации получите малый набор ресурсов [DECEA3]Экспериментальные сплавы[-]","你已請求一個小型支援箱。啟動後，你將收到一小組資源 [DECEA3]實驗性合金[-]"

MediumCase_Name,Quest,Quest Info,,Support Request [DECEA3]Medium Case[-],Запрос поддержки [DECEA3]Средний кейс[-],支援請求 [DECEA3]中型箱[-]

MediumCase01_Offer,Quest,Quest Info,,"You have requested a medium support case. Upon activation, you will receive a medium set of resources [DECEA3]Ultra Light Alloys[-]","Вы запросили средний кейс поддержки. При активации получите средний набор ресурсов [DECEA3]Сверхлегкие сплавы[-]","你已請求一個中型支援箱。啟動後，你將收到一中型組資源 [DECEA3]超輕合金[-]"
MediumCase02_Offer,Quest,Quest Info,,"You have requested a medium support case. Upon activation, you will receive a medium set of resources [DECEA3]Ultra Strength Alloys[-]","Вы запросили средний кейс поддержки. При активации получите средний набор ресурсов [DECEA3]Сверхпрочные сплавы[-]","你已請求一個中型支援箱。啟動後，你將收到一中型組資源 [DECEA3]超強合金[-]"
MediumCase03_Offer,Quest,Quest Info,,"You have requested a medium support case. Upon activation, you will receive a medium set of resources [DECEA3]Experimental Alloys[-]","Вы запросили средний кейс поддержки. При активации получите средний набор ресурсов [DECEA3]Экспериментальные сплавы[-]","你已請求一個中型支援箱。啟動後，你將收到一中型組資源 [DECEA3]實驗性合金[-]"

BigCase_Name,Quest,Quest Info,,Support Request [DECEA3]Big Case[-],Запрос поддержки [DECEA3]Большой кейс[-],支援請求 [DECEA3]大型箱[-]

BigCase01_Offer,Quest,Quest Info,,"You have requested a large support case. Upon activation, you will receive a large set of resources [DECEA3]Ultra Light Alloys[-]","Вы запросили большой кейс поддержки. При активации получите большой набор ресурсов [DECEA3]Сверхлегкие сплавы[-]","你已請求一個大型支援箱。啟動後，你將收到一大型組資源 [DECEA3]超輕合金[-]"
BigCase02_Offer,Quest,Quest Info,,"You have requested a large support case. Upon activation, you will receive a large set of resources [DECEA3]Ultra Strength Alloys[-]","Вы запросили большой кейс поддержки. При активации получите большой набор ресурсов [DECEA3]Сверхпрочные сплавы[-]","你已請求一個大型支援箱。啟動後，你將收到一大型組資源 [DECEA3]超強合金[-]"
BigCase03_Offer,Quest,Quest Info,,"You have requested a large support case. Upon activation, you will receive a large set of resources [DECEA3]Experimental Alloys[-]","Вы запросили большой кейс поддержки. При активации получите большой набор ресурсов [DECEA3]Экспериментальные сплавы[-]","你已請求一個大型支援箱。啟動後，你將收到一大型組資源 [DECEA3]實驗性合金[-]"

dropSmallLightAlloys,entityclasses,Entity,,[59F5FF]Ultra Light[-] Alloys [DECEA3]Small Case[-],[59F5FF]Сверхлегкие[-] Сплавы [DECEA3]Малый кейс[-],[59F5FF]超輕[-]合金 [DECEA3]小型箱[-]
dropSmallStrengthAlloys,entityclasses,Entity,,[E9653B]Ultra Strength[-] Alloys [DECEA3]Small Case[-],[E9653B]Сверхпрочные[-] Сплавы [DECEA3]Малый кейс[-],[E9653B]超強[-]合金 [DECEA3]小型箱[-]
dropSmallExperimentalAlloys,entityclasses,Entity,,[882FA7]Experimental[-] Alloys [DECEA3]Small Case[-],[882FA7]Экспериментальные[-] Сплавы [DECEA3]Малый кейс[-],[882FA7]實驗性[-]合金 [DECEA3]小型箱[-]
dropMediumLightAlloys,entityclasses,Entity,,[59F5FF]Ultra Light[-] Alloys [DECEA3]Medium Case[-],[59F5FF]Сверхлегкие[-] Сплавы [DECEA3]Средний кейс[-],[59F5FF]超輕[-]合金 [DECEA3]中型箱[-]
dropMediumStrengthAlloys,entityclasses,Entity,,[E9653B]Ultra Strength[-] Alloys [DECEA3]Medium Case[-],[E9653B]Сверхпрочные[-] Сплавы [DECEA3]Средний кейс[-],[E9653B]超強[-]合金 [DECEA3]中型箱[-]
dropMediumExperimentalAlloys,entityclasses,Entity,,[882FA7]Experimental[-] Alloys [DECEA3]Medium Case[-],[882FA7]Экспериментальные[-] Сплавы [DECEA3]Средний кейс[-],[882FA7]實驗性[-]合金 [DECEA3]中型箱[-]
dropBigLightAlloys,entityclasses,Entity,,[59F5FF]Ultra Light[-] Alloys [DECEA3]Big Case[-],[59F5FF]Сверхлегкие[-] Сплавы [DECEA3]Большой кейс[-],[59F5FF]超輕[-]合金 [DECEA3]大型箱[-]
dropBigStrengthAlloys,entityclasses,Entity,,[E9653B]Ultra Strength[-] Alloys [DECEA3]Big Case[-],[E9653B]Сверхпрочные[-] Сплавы [DECEA3]Большой кейс[-],[E9653B]超強[-]合金 [DECEA3]大型箱[-]
dropBigExperimentalAlloys,entityclasses,Entity,,[882FA7]Experimental[-] Alloys [DECEA3]Big Case[-],[882FA7]Экспериментальные[-] Сплавы [DECEA3]Большой кейс[-],[882FA7]實驗性[-]合金 [DECEA3]大型箱[-]
